L	D	resultado	R	PAPI_L2_TCM	fallo
256	1	9.206582	2048	208	0
256	1	12.437441	2048	620	0
256	1	9.479727	2048	224	0
256	1	9.110117	2048	167	0
256	1	9.102813	2048	151	0
256	1	9.119727	2048	165	0
256	1	9.790059	2048	281	0
256	1	9.111680	2048	153	0
256	1	9.129512	2048	157	0
256	1	9.116602	2048	140	0
256	5	9.245868	409	129	0
256	5	9.495061	409	218	0
256	5	9.252616	409	137	0
256	5	9.257115	409	164	0
256	5	9.253594	409	151	0
256	5	9.236381	409	145	0
256	5	9.236381	409	142	0
256	5	9.250465	409	166	0
256	5	9.603814	409	177	0
256	5	9.530269	409	253	0
256	12	9.388281	256	183	0
256	12	13.747344	256	395	0
256	12	14.934219	256	267	0
256	12	13.660781	256	266	0
256	12	9.486719	256	219	0
256	12	9.361719	256	214	0
256	12	9.420781	256	220	0
256	12	9.425469	256	232	0
256	12	10.833125	256	267	0
256	12	9.355313	256	223	0
256	51	9.431406	256	344	0
256	51	9.668125	256	379	0
256	51	9.392031	256	331	0
256	51	9.373437	256	358	0
256	51	9.360312	256	346	0
256	51	9.372969	256	332	0
256	51	9.388281	256	328	0
256	51	9.478906	256	348	0
256	51	10.194531	256	433	0
256	51	9.374844	256	353	0
256	93	9.463594	256	336	0
256	93	9.396875	256	347	0
256	93	9.499375	256	337	0
256	93	9.405156	256	348	0
256	93	9.508281	256	342	0
256	93	14.772344	256	529	0
256	93	14.977344	256	632	0
256	93	9.372969	256	324	0
256	93	9.388750	256	330	0
256	93	9.382031	256	330	0
768	1	9.433496	6144	495	0
768	1	9.091908	6144	283	0
768	1	10.540775	6144	1258	0
768	1	9.089551	6144	255	0
768	1	9.260020	6144	443	0
768	1	9.304460	6144	593	0
768	1	9.164544	6144	358	0
768	1	9.114557	6144	266	0
768	1	9.253633	6144	420	0
768	1	9.090046	6144	250	0
768	5	9.288762	1228	340	0
768	5	9.328208	1228	493	0
768	5	9.215440	1228	250	0
768	5	9.215537	1228	255	0
768	5	9.211726	1228	263	0
768	5	13.459544	1228	579	0
768	5	10.245570	1228	599	0
768	5	13.356026	1228	663	0
768	5	9.224397	1228	240	0
768	5	12.088046	1228	627	0
768	12	9.466979	768	439	0
768	12	9.463958	768	459	0
768	12	9.485833	768	440	0
768	12	9.820260	768	507	0
768	12	9.486927	768	460	0
768	12	9.505781	768	470	0
768	12	9.496198	768	444	0
768	12	9.490312	768	433	0
768	12	9.493125	768	465	0
768	12	9.471146	768	409	0
768	51	9.554583	768	921	0
768	51	9.928594	768	1182	0
768	51	9.486042	768	915	0
768	51	9.663958	768	1022	0
768	51	9.732396	768	1085	0
768	51	9.599479	768	966	0
768	51	9.505417	768	885	0
768	51	9.667344	768	906	0
768	51	9.619792	768	2050	0
768	51	9.499688	768	898	0
768	93	10.109844	768	5121	0
768	93	9.784740	768	2255	0
768	93	9.719948	768	2182	0
768	93	12.449687	768	1701	0
768	93	9.608229	768	955	0
768	93	9.770729	768	1007	0
768	93	9.744792	768	980	0
768	93	9.653021	768	902	0
768	93	9.622969	768	915	0
768	93	9.925833	768	1580	0
2048	1	9.181462	16384	1434	0
2048	1	9.100000	16384	2022	0
2048	1	9.136555	16384	1144	0
2048	1	9.151970	16384	3574	0
2048	1	9.104814	16384	3388	0
2048	1	9.092256	16384	966	0
2048	1	12.739368	16384	11171	0
2048	1	9.111760	16384	2302	0
2048	1	9.145356	16384	942	0
2048	1	9.389631	16384	2255	0
2048	5	9.361612	3276	923	0
2048	5	9.186838	3276	2532	0
2048	5	9.376996	3276	817	0
2048	5	9.198193	3276	607	0
2048	5	9.179389	3276	687	0
2048	5	9.817155	3276	4140	0
2048	5	9.193639	3276	587	0
2048	5	9.186020	3276	624	0
2048	5	9.382552	3276	983	0
2048	5	9.182650	3276	593	0
2048	12	9.397227	2048	1269	0
2048	12	14.341094	2048	13386	0
2048	12	9.422051	2048	2594	0
2048	12	9.448359	2048	2782	0
2048	12	15.485820	2048	5698	0
2048	12	9.447520	2048	2080	0
2048	12	9.907676	2048	27117	0
2048	12	9.706094	2048	12586	0
2048	12	9.744648	2048	16849	0
2048	12	9.895703	2048	22629	0
2048	51	9.821211	2048	18293	0
2048	51	10.050586	2048	16577	0
2048	51	10.387012	2048	24269	0
2048	51	10.250352	2048	37221	0
2048	51	9.914961	2048	16427	0
2048	51	9.930723	2048	24590	0
2048	51	9.831348	2048	16331	0
2048	51	15.340156	2048	32143	0
2048	51	9.989512	2048	17015	0
2048	51	10.021211	2048	35663	0
2048	93	10.622871	2048	12070	0
2048	93	19.688320	2048	55630	0
2048	93	10.484258	2048	11222	0
2048	93	10.127598	2048	23482	0
2048	93	10.485273	2048	20286	0
2048	93	9.906992	2048	10920	0
2048	93	16.606680	2048	46911	0
2048	93	10.602012	2048	11627	0
2048	93	10.777266	2048	11314	0
2048	93	10.009883	2048	8583	0
3072	1	9.189347	24576	7001	0
3072	1	9.232939	24576	9149	0
3072	1	9.128231	24576	8296	0
3072	1	10.359844	24576	9557	0
3072	1	9.508403	24576	8955	0
3072	1	9.244098	24576	7108	0
3072	1	9.161603	24576	8007	0
3072	1	9.135020	24576	6700	0
3072	1	9.161323	24576	6842	0
3072	1	9.131580	24576	7032	0
3072	5	9.169432	4915	2354	0
3072	5	9.189632	4915	5128	0
3072	5	9.278714	4915	5075	0
3072	5	9.247959	4915	6123	0
3072	5	9.325469	4915	5437	0
3072	5	9.189331	4915	4840	0
3072	5	24.368285	4915	10919	0
3072	5	9.394376	4915	5499	0
3072	5	9.326258	4915	6939	0
3072	5	9.276639	4915	3421	0
3072	12	10.075026	3072	39149	0
3072	12	10.887552	3072	36419	0
3072	12	10.380768	3072	45814	0
3072	12	10.416367	3072	48658	0
3072	12	10.179193	3072	42650	0
3072	12	9.901706	3072	32158	0
3072	12	10.181029	3072	36785	0
3072	12	10.194023	3072	44383	0
3072	12	10.142279	3072	36771	0
3072	12	10.486693	3072	47832	0
3072	51	11.004896	3072	106990	0
3072	51	10.831758	3072	116729	0
3072	51	10.661849	3072	120733	0
3072	51	10.480299	3072	70598	0
3072	51	18.372604	3072	174054	0
3072	51	10.594740	3072	72556	0
3072	51	10.434727	3072	79255	0
3072	51	10.184349	3072	51022	0
3072	51	12.055716	3072	90224	0
3072	51	11.282227	3072	92000	0
3072	93	11.299036	3072	99842	0
3072	93	10.689922	3072	37018	0
3072	93	10.524674	3072	31631	0
3072	93	10.752292	3072	44101	0
3072	93	11.153880	3072	82496	0
3072	93	11.412187	3072	60472	0
3072	93	11.594766	3072	50411	0
3072	93	11.273880	3072	86646	0
3072	93	11.757839	3072	52305	0
3072	93	11.999935	3072	42272	0
8192	1	9.428220	65536	25583	0
8192	1	9.127420	65536	23593	0
8192	1	9.190035	65536	25099	0
8192	1	11.075637	65536	34730	0
8192	1	9.453666	65536	26958	0
8192	1	9.115836	65536	23534	0
8192	1	9.181597	65536	24042	0
8192	1	9.548799	65536	28507	0
8192	1	10.434234	65536	34824	0
8192	1	9.362723	65536	25840	0
8192	5	9.568157	13107	24843	0
8192	5	9.352847	13107	22253	0
8192	5	9.299263	13107	20924	0
8192	5	9.327684	13107	24046	0
8192	5	9.363809	13107	23104	0
8192	5	9.477436	13107	21831	0
8192	5	9.511534	13107	21771	0
8192	5	9.850895	13107	24098	0
8192	5	9.496892	13107	39255	0
8192	5	10.310625	13107	28111	0
8192	12	12.800303	8192	170735	0
8192	12	10.753735	8192	204578	0
8192	12	11.143496	8192	197701	0
8192	12	10.843970	8192	204731	0
8192	12	12.185195	8192	198466	0
8192	12	10.811011	8192	202796	0
8192	12	11.280117	8192	190292	0
8192	12	10.837666	8192	197092	0
8192	12	12.000244	8192	198732	0
8192	12	10.812617	8192	197763	0
8192	51	13.190195	8192	846837	0
8192	51	14.521221	8192	855420	0
8192	51	13.990005	8192	852940	0
8192	51	16.109766	8192	851991	0
8192	51	14.895386	8192	851171	0
8192	51	14.288301	8192	853120	0
8192	51	13.677075	8192	844349	0
8192	51	13.443335	8192	850682	0
8192	51	14.752700	8192	852129	0
8192	51	13.335093	8192	847869	0
8192	93	15.272769	8192	881200	0
8192	93	13.671987	8192	880368	0
8192	93	14.535229	8192	880331	0
8192	93	13.737749	8192	880973	0
8192	93	13.579189	8192	880652	0
8192	93	13.451221	8192	880661	0
8192	93	13.600435	8192	880241	0
8192	93	13.407358	8192	880445	0
8192	93	14.209355	8192	878627	0
8192	93	13.339482	8192	880709	0
16384	1	9.212190	131072	52312	0
16384	1	9.946760	131072	73608	0
16384	1	9.404530	131072	59321	0
16384	1	9.248698	131072	50123	0
16384	1	9.903547	131072	67621	0
16384	1	9.429992	131072	65562	0
16384	1	9.368789	131072	58938	0
16384	1	11.106974	131072	65105	0
16384	1	9.494576	131072	69152	0
16384	1	9.464741	131072	70814	0
16384	5	9.739054	26214	111385	0
16384	5	9.518421	26214	65017	0
16384	5	9.396683	26214	49401	0
16384	5	10.026993	26214	85831	0
16384	5	9.413634	26214	91413	0
16384	5	10.219878	26214	65176	0
16384	5	9.337021	26214	58351	0
16384	5	9.257288	26214	43905	0
16384	5	9.632314	26214	83601	0
16384	5	13.477861	26214	96451	0
16384	12	13.734229	16384	441545	0
16384	12	13.138911	16384	464422	0
16384	12	16.901201	16384	529951	0
16384	12	13.859858	16384	514626	0
16384	12	14.831794	16384	498561	0
16384	12	11.812290	16384	436057	0
16384	12	12.161838	16384	481667	0
16384	12	19.824722	16384	492434	0
16384	12	13.320435	16384	467233	0
16384	12	14.076992	16384	509043	0
16384	51	18.537808	16384	1708879	0
16384	51	21.213552	16384	1703952	0
16384	51	17.857444	16384	1703198	0
16384	51	20.214275	16384	1705651	0
16384	51	24.137556	16384	1707304	0
16384	51	23.355801	16384	1708942	0
16384	51	21.453083	16384	1704218	0
16384	51	18.980869	16384	1706082	0
16384	51	19.622891	16384	1702932	0
16384	51	22.826716	16384	1702467	0
16384	93	21.981353	16384	1761701	0
16384	93	22.472183	16384	1761477	0
16384	93	16.175164	16384	1760976	0
16384	93	17.865166	16384	1761941	0
16384	93	17.682715	16384	1761175	0
16384	93	16.423901	16384	1759774	0
16384	93	16.942107	16384	1760274	0
16384	93	18.255469	16384	1760562	0
16384	93	16.708689	16384	1758923	0
16384	93	14.457200	16384	1760857	0
32768	1	9.399996	262144	157750	0
32768	1	9.774386	262144	201938	0
32768	1	14.341055	262144	166967	0
32768	1	9.916464	262144	155378	0
32768	1	12.419715	262144	146682	0
32768	1	15.073801	262144	138600	0
32768	1	15.177218	262144	142635	0
32768	1	10.785263	262144	139736	0
32768	1	9.585357	262144	145318	0
32768	1	13.784797	262144	153223	0
32768	5	11.438493	52428	343331	0
32768	5	10.716688	52428	272617	0
32768	5	10.788692	52428	443381	0
32768	5	11.310571	52428	465526	0
32768	5	10.710468	52428	428349	0
32768	5	10.011787	52428	485270	0
32768	5	10.542966	52428	467608	0
32768	5	11.286239	52428	588051	0
32768	5	12.303443	52428	557280	0
32768	5	11.458044	52428	632715	0
32768	12	20.378398	32768	1787012	0
32768	12	17.311973	32768	1478040	0
32768	12	23.280575	32768	1739221	0
32768	12	18.553037	32768	1735364	0
32768	12	17.222501	32768	1408911	0
32768	12	21.757137	32768	1793990	0
32768	12	25.978285	32768	1942354	0
32768	12	21.398066	32768	1703308	0
32768	12	21.620880	32768	1732977	0
32768	12	21.751140	32768	1777059	0
32768	51	26.996185	32768	3412225	0
32768	51	28.720164	32768	3415986	0
32768	51	28.780817	32768	3416166	0
32768	51	28.986929	32768	3409247	0
32768	51	27.730739	32768	3412385	0
32768	51	28.713830	32768	3409644	0
32768	51	38.133458	32768	3415967	0
32768	51	34.061429	32768	3404621	0
32768	51	30.797858	32768	3408303	0
32768	51	36.186178	32768	3414647	0
32768	93	28.128511	32768	3519600	0
32768	93	30.467844	32768	3519498	0
32768	93	28.950280	32768	3519678	0
32768	93	23.080966	32768	3519397	0
32768	93	22.307699	32768	3516582	0
32768	93	27.051162	32768	3520581	0
32768	93	24.379396	32768	3520495	0
32768	93	22.522584	32768	3520693	0
32768	93	23.588976	32768	3516950	0
32768	93	29.642661	32768	3523508	0
